Block,Pattern,Item,Tag,X_Coordination,Y_Coordination,Z_Coordination
Block,Pattern,Item,Tag,X_Coordination,Y_Coordination,Z_Coordination
Block,Pattern,Item,Tag,X_Coordination,Y_Coordination,Z_Coordination
Block,Pattern,Item,Tag,X_Coordination,Y_Coordination,Z_Coordination
AR-difficult,0,Purple Cylinder,Other Object,(1.1, 1.5, 0.2)
AR-difficult,0,Purple Cube,Other Object,(2.5, 2.1, 0.4)
AR-difficult,0,Purple Cube,Other Object,(0.6, 0.9, 0.9)
AR-difficult,0,Purple Cube,Other Object,(1.4, 0.7, 1.1)
AR-difficult,0,Purple Pyramids,Other Object,(1.9, 1.1, 1.0)
AR-difficult,0,Purple Pyramids,Other Object,(0.9, 1.3, -0.4)
AR-difficult,0,Purple Pyramids,Other Object,(1.1, 0.8, 0.1)
AR-difficult,0,Red Cylinder,Other Object,(1.6, 1.1, -0.8)
AR-difficult,0,Blue Cylinder,Other Object,(2.4, 0.2, -0.9)
AR-difficult,0,Red Cylinder,Other Object,(1.7, 1.4, 0.0)
AR-difficult,0,Red Cylinder,Other Object,(2.3, 1.1, -0.1)
AR-difficult,0,Red Cylinder,Other Object,(2.7, 0.2, 0.7)
AR-difficult,0,Blue Cylinder,Other Object,(1.7, 0.7, 0.7)
AR-difficult,0,Blue Cube,Other Object,(2.0, 0.3, 0.9)
AR-difficult,0,Yellow Pyramids,Other Object,(2.1, 2.0, -0.5)
AR-difficult,0,Red Pyramids,Other Object,(2.7, 1.9, 1.7)
AR-difficult,0,Yellow Sphere,Other Object,(2.4, 0.8, 1.6)
AR-difficult,0,Yellow Sphere,Other Object,(2.8, 1.4, 1.8)
AR-difficult,0,Blue Sphere,Other Object,(2.8, 2.0, -0.2)
AR-difficult,1,Yellow Pyramids,Other Object,(1.1, 0.7, 0.9)
AR-difficult,1,Yellow Cube,Other Object,(2.3, 1.2, -0.8)
AR-difficult,1,Yellow Sphere,Other Object,(2.3, 1.3, 0.1)
AR-difficult,1,Yellow Sphere,Other Object,(2.1, 1.7, 1.4)
AR-difficult,1,Yellow Cube,Other Object,(2.6, 0.4, -1.1)
AR-difficult,1,Yellow Sphere,Other Object,(2.0, 2.1, 1.0)
AR-difficult,1,Yellow Sphere,Other Object,(2.7, 0.3, 1.0)
AR-difficult,1,Red Pyramids,Other Object,(2.6, 0.7, 0.8)
AR-difficult,1,Purple Pyramids,Other Object,(1.7, 1.3, -0.9)
AR-difficult,1,Blue Pyramids,Other Object,(2.1, 1.4, 1.0)
AR-difficult,1,Purple Pyramids,Other Object,(2.6, 1.9, -1.1)
AR-difficult,1,Red Pyramids,Other Object,(0.8, 1.8, 0.0)
AR-difficult,1,Blue Pyramids,Other Object,(1.6, 1.4, 0.3)
AR-difficult,1,Blue Cylinder,Other Object,(2.5, 0.5, 1.7)
AR-difficult,1,Purple Cylinder,Other Object,(2.0, 0.6, -0.3)
AR-difficult,1,Purple Cube,Other Object,(1.4, 1.5, 1.1)
AR-difficult,1,Blue Sphere,Other Object,(2.8, 1.3, 1.4)
AR-difficult,1,Blue Sphere,Other Object,(2.6, 2.0, 0.3)
AR-difficult,1,Blue Sphere,Other Object,(2.5, 2.1, 1.4)
AR-difficult,2,Yellow Pyramids,Other Object,(2.7, 1.8, -1.1)
AR-difficult,2,Yellow Cylinder,Other Object,(1.3, 1.1, 0.0)
AR-difficult,2,Yellow Cube,Other Object,(2.2, 1.4, 1.0)
AR-difficult,2,Yellow Sphere,Other Object,(2.3, 1.8, -0.6)
AR-difficult,2,Yellow Cube,Other Object,(2.7, 0.4, -1.2)
AR-difficult,2,Yellow Cube,Other Object,(2.5, 0.6, 1.2)
AR-difficult,2,Yellow Cylinder,Other Object,(1.9, 0.7, -1.1)
AR-difficult,2,Purple Pyramids,Other Object,(2.8, 0.1, 1.9)
AR-difficult,2,Blue Pyramids,Other Object,(2.7, 1.4, -0.1)
AR-difficult,2,Red Pyramids,Other Object,(1.8, 1.6, 0.1)
AR-difficult,2,Blue Pyramids,Other Object,(2.6, 1.9, 1.6)
AR-difficult,2,Purple Pyramids,Other Object,(2.1, 1.9, 0.4)
AR-difficult,2,Blue Pyramids,Other Object,(2.2, 1.0, 1.2)
AR-difficult,2,Purple Cylinder,Other Object,(2.2, 1.2, -0.7)
AR-difficult,2,Blue Cylinder,Other Object,(1.3, 1.8, 0.7)
AR-difficult,2,Blue Cube,Other Object,(2.0, 0.4, 1.1)
AR-difficult,2,Red Sphere,Other Object,(1.0, 1.4, -0.5)
AR-difficult,2,Purple Sphere,Other Object,(1.6, 1.4, -0.4)
AR-difficult,2,Purple Cube,Other Object,(2.6, 1.0, -1.3)
AR-difficult,3,Blue Cube,Other Object,(2.1, 0.4, 1.5)
AR-difficult,3,Blue Cylinder,Other Object,(2.7, 0.5, 1.0)
AR-difficult,3,Blue Cylinder,Other Object,(0.9, 0.9, -0.1)
AR-difficult,3,Blue Cylinder,Other Object,(2.5, 0.3, -0.1)
AR-difficult,3,Blue Sphere,Other Object,(1.0, 1.9, 0.7)
AR-difficult,3,Blue Pyramids,Other Object,(1.7, 1.9, -0.9)
AR-difficult,3,Blue Sphere,Other Object,(1.6, 1.4, -0.9)
AR-difficult,3,Purple Cube,Other Object,(2.5, 0.8, 0.7)
AR-difficult,3,Yellow Cube,Other Object,(1.1, 1.5, -0.6)
AR-difficult,3,Yellow Cube,Other Object,(2.7, 1.7, 0.0)
AR-difficult,3,Purple Cube,Other Object,(1.9, 1.7, -0.2)
AR-difficult,3,Purple Cube,Other Object,(2.0, 0.4, -0.8)
AR-difficult,3,Yellow Cube,Other Object,(2.1, 1.3, 0.0)
AR-difficult,3,Red Sphere,Other Object,(2.2, 0.9, 1.3)
AR-difficult,3,Red Sphere,Other Object,(1.1, 1.3, 0.9)
AR-difficult,3,Purple Pyramids,Other Object,(2.6, 1.2, 1.6)
AR-difficult,3,Yellow Sphere,Other Object,(1.9, 1.1, 0.8)
AR-difficult,3,Red Sphere,Other Object,(1.6, 0.8, 1.2)
AR-difficult,3,Yellow Pyramids,Other Object,(1.4, 1.0, 0.2)
AR-difficult,4,Blue Pyramids,Other Object,(1.7, 0.6, -0.8)
AR-difficult,4,Blue Cube,Other Object,(0.9, 0.8, -0.2)
AR-difficult,4,Blue Cylinder,Other Object,(1.7, 0.8, 0.3)
AR-difficult,4,Blue Cylinder,Other Object,(2.6, 0.5, 0.8)
AR-difficult,4,Blue Sphere,Other Object,(2.5, 2.0, -1.1)
AR-difficult,4,Blue Cube,Other Object,(2.5, 1.0, -0.8)
AR-difficult,4,Blue Cube,Other Object,(1.1, 1.2, -0.6)
AR-difficult,4,Red Pyramids,Other Object,(2.7, 1.7, 0.2)
AR-difficult,4,Red Pyramids,Other Object,(1.5, 1.4, 0.9)
AR-difficult,4,Yellow Pyramids,Other Object,(2.7, 1.8, 1.3)
AR-difficult,4,Yellow Pyramids,Other Object,(2.4, 0.3, -0.3)
AR-difficult,4,Red Pyramids,Other Object,(1.9, 0.7, 1.2)
AR-difficult,4,Purple Pyramids,Other Object,(2.6, 1.6, 1.8)
AR-difficult,4,Red Sphere,Other Object,(2.4, 2.2, 0.8)
AR-difficult,4,Yellow Sphere,Other Object,(2.0, 1.4, -0.6)
AR-difficult,4,Yellow Cube,Other Object,(2.7, 0.2, 1.7)
AR-difficult,4,Purple Cylinder,Other Object,(2.8, 1.7, 0.7)
AR-difficult,4,Purple Cube,Other Object,(0.8, 1.3, 0.5)
AR-difficult,4,Red Cylinder,Other Object,(1.7, 1.9, -0.3)
AR-difficult,5,Yellow Pyramids,Other Object,(1.0, 0.6, -0.5)
AR-difficult,5,Yellow Sphere,Other Object,(2.6, 1.5, -1.0)
AR-difficult,5,Yellow Cylinder,Other Object,(2.4, 0.3, 0.7)
AR-difficult,5,Yellow Sphere,Other Object,(0.8, 1.4, 0.5)
AR-difficult,5,Yellow Sphere,Other Object,(2.0, 0.5, 0.4)
AR-difficult,5,Yellow Sphere,Other Object,(1.8, 1.0, 0.4)
AR-difficult,5,Yellow Cylinder,Other Object,(2.2, 0.6, -1.1)
AR-difficult,5,Red Pyramids,Other Object,(2.0, 0.4, 1.3)
AR-difficult,5,Blue Pyramids,Other Object,(0.6, 1.1, -0.3)
AR-difficult,5,Purple Pyramids,Other Object,(2.1, 0.9, 0.9)
AR-difficult,5,Red Pyramids,Other Object,(1.7, 1.9, 0.2)
AR-difficult,5,Red Pyramids,Other Object,(2.6, 1.4, 0.6)
AR-difficult,5,Purple Pyramids,Other Object,(1.4, 1.6, 1.2)
AR-difficult,5,Red Cylinder,Other Object,(2.0, 1.7, -0.7)
AR-difficult,5,Blue Cube,Other Object,(2.7, 2.1, 0.8)
AR-difficult,5,Purple Cylinder,Other Object,(2.2, 1.9, 0.4)
AR-difficult,5,Purple Cylinder,Other Object,(1.3, 1.1, -0.7)
AR-difficult,5,Purple Cube,Other Object,(1.1, 1.8, -0.1)
AR-difficult,5,Red Sphere,Other Object,(0.7, 0.8, 0.5)
AR-difficult,6,Red Cube,Other Object,(2.1, 0.6, 1.5)
AR-difficult,6,Red Cylinder,Other Object,(2.6, 0.9, 1.6)
AR-difficult,6,Red Pyramids,Other Object,(2.1, 2.0, 1.3)
AR-difficult,6,Red Pyramids,Other Object,(1.8, 1.2, 1.3)
AR-difficult,6,Red Pyramids,Other Object,(0.5, 1.4, 0.5)
AR-difficult,6,Red Sphere,Other Object,(1.4, 1.5, -0.4)
AR-difficult,6,Red Sphere,Other Object,(1.7, 1.6, 0.7)
AR-difficult,6,Yellow Cube,Other Object,(2.0, 0.8, -0.1)
AR-difficult,6,Purple Cube,Other Object,(2.4, 1.1, -0.6)
AR-difficult,6,Purple Cube,Other Object,(2.7, 2.2, 1.8)
AR-difficult,6,Yellow Cube,Other Object,(1.9, 1.4, -1.1)
AR-difficult,6,Blue Cube,Other Object,(2.0, 0.9, -0.8)
AR-difficult,6,Blue Cube,Other Object,(2.5, 1.2, 0.3)
AR-difficult,6,Yellow Sphere,Other Object,(1.5, 0.6, 0.9)
AR-difficult,6,Yellow Sphere,Other Object,(2.3, 1.0, 1.1)
AR-difficult,6,Blue Pyramids,Other Object,(2.3, 0.3, -0.1)
AR-difficult,6,Blue Sphere,Other Object,(2.6, 2.0, -0.2)
AR-difficult,6,Yellow Cylinder,Other Object,(1.7, 1.0, 0.6)
AR-difficult,6,Yellow Pyramids,Other Object,(2.5, 1.7, 1.1)
AR-difficult,7,Purple Cube,Other Object,(1.0, 0.8, 0.7)
AR-difficult,7,Purple Sphere,Other Object,(2.6, 1.6, 0.2)
AR-difficult,7,Purple Pyramids,Other Object,(2.4, 0.5, -0.8)
AR-difficult,7,Purple Pyramids,Other Object,(1.4, 0.8, -0.4)
AR-difficult,7,Purple Sphere,Other Object,(2.6, 1.9, -1.1)
AR-difficult,7,Purple Cylinder,Other Object,(2.2, 1.2, 0.8)
AR-difficult,7,Purple Sphere,Other Object,(2.6, 1.6, 1.1)
AR-difficult,7,Blue Cube,Other Object,(1.7, 1.6, 0.6)
AR-difficult,7,Red Cube,Other Object,(1.1, 1.8, 0.9)
AR-difficult,7,Blue Cube,Other Object,(2.6, 0.3, 1.7)
AR-difficult,7,Red Cube,Other Object,(2.1, 0.8, 0.7)
AR-difficult,7,Yellow Cube,Other Object,(1.7, 1.1, 0.1)
AR-difficult,7,Red Cube,Other Object,(0.6, 1.2, 0.8)
AR-difficult,7,Yellow Cylinder,Other Object,(1.5, 1.5, -0.9)
AR-difficult,7,Yellow Pyramids,Other Object,(1.9, 0.9, 1.2)
AR-difficult,7,Blue Sphere,Other Object,(1.8, 1.7, 0.0)
AR-difficult,7,Red Cylinder,Other Object,(2.7, 1.4, 1.7)
AR-difficult,7,Blue Sphere,Other Object,(2.4, 0.7, 1.6)
AR-difficult,7,Yellow Sphere,Other Object,(2.8, 0.3, 0.5)
AR-difficult,8,Purple Sphere,Other Object,(2.8, 2.3, -0.6)
AR-difficult,8,Purple Cylinder,Other Object,(2.3, 2.2, 0.1)
AR-difficult,8,Purple Cylinder,Other Object,(1.6, 1.1, -0.7)
AR-difficult,8,Purple Pyramids,Other Object,(2.1, 1.8, 1.3)
AR-difficult,8,Purple Cube,Other Object,(2.0, 0.9, 0.3)
AR-difficult,8,Purple Pyramids,Other Object,(2.5, 1.5, 0.6)
AR-difficult,8,Purple Cube,Other Object,(2.7, 0.2, 0.4)
AR-difficult,8,Yellow Sphere,Other Object,(0.8, 1.0, 0.3)
AR-difficult,8,Red Sphere,Other Object,(2.1, 1.2, 1.1)
AR-difficult,8,Red Sphere,Other Object,(1.3, 1.9, 0.7)
AR-difficult,8,Yellow Sphere,Other Object,(2.2, 0.7, -0.2)
AR-difficult,8,Blue Sphere,Other Object,(0.5, 1.1, -0.1)
AR-difficult,8,Blue Sphere,Other Object,(2.4, 1.2, 0.0)
AR-difficult,8,Yellow Cube,Other Object,(1.4, 1.7, -0.4)
AR-difficult,8,Blue Cylinder,Other Object,(1.7, 0.5, 1.1)
